Nom du lieu;Adresse;Code postal;Ville;Latitude;Longitude;Type de parking;Source;Places;PMR;Transport public;Prix;Ouverture;Commentaire;Proprietaire;Lumière;Velo
Parc Relais Giratoire Pénétrante;600 Route de la Roquette, 06370 Mouans-Sartoux;6370;Mouans-Sartoux ;43.612562;6.967739;P+R;06 CD06 Alpes-Maritimes;;;;;;;;;
Parc Relais Les Plans;117 Avenue des Ferrayonnes, 06270 Villeneuve-Loubet;6270;Villeneuve-Loubet ;43.652775;7.127547;P+R;06 CD06 Alpes-Maritimes;;;;;;;;;
Station de service Alba la Romaine;D263A, 07400 Alba-la-Romaine;7400;Alba-la-Romaine;44.56277;4.595806;Parking;07 CD07 Ardèche;20;;;;;;;;
Station Essence Torrenson;10 Avenue de Beaucaire, 07340 Andance;7340;Andance;45.236210;4.798276;Parking ;07 CD07 Ardèche;;;;;;;;;
Aire de covoiturage de Champis;3945 Route de Valence, 07440 Champis;7440;Champis;44.941659;4.765861;Aire_covoiturage ;07 CD07 Ardèche;;;;;;;;;
Portes du Pays de Crussol;41 Route Royale, 07240 Châteauneuf-de-Vernoux;7240;Châteauneuf-de-Vernoux;44.919568;4.642699;Parking;07 CD07 Ardèche;10;;;;;;;;
Parking Boucherie Valla;Le Village E, 07410 Colombier-le-Vieux;7410;colombier le vieux;45.066191;4.695545;Parking;07 CD07 Ardèche;;;;;;;;;
Salle des fêtes;126 Avenue du Colonel Rousset, 07130 Cornas;7130;Cornas;44.960664;4.848119;Parking;07 CD07 Ardèche;15;;;;;;;;
Les Chrysanthèmes;2 Pl. des Chrysanthemes, 07350 Cruas;7350;Cruas;44.652089;4.759546;Parking;07 CD07 Ardèche;;;;;;;;;
Aire de covoiturage de Davézieux;2147 Route de Lyon, 07430 Saint-Clair;7430;Davézieux;45.261776;4.706238;Aire_covoiturage ;07 CD07 Ardèche;20;;;;;;;;
Aire de covoiturage de Félines ;71 D109, 07340 Felines;7340;Félines;45.308776;4.740932;Aire_covoiturage ;07 CD07 Ardèche;10;;;;;;;;
Parking Stade Mistral;459 Rue Pierre Curie, 07500 Guilherand-Granges;7500;Guilherand-Granges;44.93741;4.884288;Parking;07 CD07 Ardèche;60;;;;;;;;
Espace Seroul;D19, 07380 Jaujac;7380;Jaujac;44.635618;4.264253;Parking;07 CD07 Ardèche;5;;;;;;;;
Aire de covoiturage Lablachère;D104A, 07230 Lablachère;7230;Lablachère;44.458547;4.220053;Aire_covoiturage ;07 CD07 Ardèche;25;;;;;;;;
Parking Lachapelle sous Aubenas;540 Route de Saint-Sernin, 07200 Lachapelle-Sous-Aubenas;7200;Lachapelle-sous-Aubenas;44.570055;4.374353;Parking;07 CD07 Ardèche;20;;;;;;;;
Le boulodrome;33 Avenue Centrale, 07380 Lalevade-d'Ardèche;7380;Lalevade;44.651711;4.322269;Parking;07 CD07 Ardèche;15;;;;;;;;
Les Dévières;2 Rue Raoul Follereau, 07270 Lamastre;7270;Lamastre;44.982221;4.572838;Parking;07 CD07 Ardèche;20;;;;;;;;
Coudoulas;N102, 07170 Lavilledieu;7170;Lavilledieu;44.567346;4.462739;Parking;07 CD07 Ardèche;6;;;;;;;;
Parking Salle des fêtes ;1005-2 Rue René Cassin, 07800 La Voulte-sur-Rhône;7800;La-Voulte-sur-Rhône;44.802728;4.785377;Parking;07 CD07 Ardèche;19;;;;;;;;
Plaisance;5 Chemin d'Aurives, 07160 Le Cheylard;7160;Le Cheylard;44.911867;4.428552;Parking;07 CD07 Ardèche;5;;;;;;;;
Parking arcades voie ferrée;1123 D86, 07250 Le Pouzin;7250;Le Pouzin;44.756025;4.750111;Parking;07 CD07 Ardèche;15;;;;;;;;
Aire de covoiturage du Teil;ZAC Entre Pont et Rhône, 07400 Le Teil;7400;Le Teil;44.554489;4.68897;Aire_covoiturage ;07 CD07 Ardèche;25;2;;;;;;;
Parking de l'Église Saint-Jacques;D578, 07160 Nonières;7160;Les Nonières;44.932481;4.486631;Parking;07 CD07 Ardèche;10;;;;;;;;
Aire de covoiturage de Meysse;1 Rue Chevrière, 07400 Meysse;7400;Meysse;44.60963;4.724946;Aire_covoiturage ;07 CD07 Ardèche;10;;;;;;;;
Aire de covoiturage de Peaugres;39 Route des Maures, 07340 Peaugres;7340;Peaugres;45.291566;4.734216;Aire_covoiturage ;07 CD07 Ardèche;6;;;;;;;;
Parking du rond point D120;D120, 07320 Saint-Agrève;7320;Saint-Agrève;45.006689;4.401874;Parking;07 CD07 Ardèche;5;;;;;;;;
Aire de covoiturage de Saint-Privat;Saint-Privat Gabelu, 07200 Saint-Privat;7200;Saint-Privat;44.62665;4.41817;Aire_covoiturage ;07 CD07 Ardèche;10;;;;;;;;
Parking Intermarché Soyons;915-891 Chemin du Ruisseau, 07500 Soyons;7500;Soyons;44.917749;4.861913;Parking;07 CD07 Ardèche;;;;;;;;;
Parking la poste ;Fontaine Bénite, 07790 Saint-Alban-d'Ay;7790;St Alban d'Ay;45.188619;4.639030;Parking;07 CD07 Ardèche;;;;;;;;;
Parking D86 La Marequière;La Marequière, 07700 Saint-Marcel-d'Ardèche;7700;St-Marcel-d'Ardèche;44.325145;4.631091;Parking;07 CD07 Ardèche;6;;;;;;;;
Parking du rond point D262;La Borne, 07220 Saint-Montan;7220;St-Montan;44.43041;4.649549;Parking;07 CD07 Ardèche;5;;;;;;;;
Parking Bar Chambon Joel;82 D7, 07000 Saint-Priest;7000;St-Priest;44.720736;4.574834;Parking;07 CD07 Ardèche;6;;;;;;;;
Parking en face l'Eglise Reformée;1 Place du Jardin Public, 07190 Saint-Sauveur-de-Montagut;7190;St-Sauveur-de-Montagut;44.820196;4.57777;Parking;07 CD07 Ardèche;;;;;;;;;
Parking en face de Votre marché;35 Chemin de l'Ardèche, 07200 Saint-Sernin;7200;St-Sernin;44.570891;4.393451;Parking;07 CD07 Ardèche;;;;;;;;;
Aire de covoiturage D322;D322, 07210 Saint-Vincent-de-Barrès;7210;St-Vincent-de-Barrès;44.661717;4.70616;Aire_covoiturage ;07 CD07 Ardèche;15;;;;;;;;
Parking rond point D370A;55 Route de Davezieux, 07430 Vernosc-lès-Annonay;7430;Vernosc-les-Annonay;45.234351;4.715622;Parking;07 CD07 Ardèche;;;;;;;;;
Parking D232;D14, 07240 Vernoux-en-Vivarais;7240;Vernoux/ La Justice;44.908164;4.679828;Parking;07 CD07 Ardèche;10;;;;;;;;
Parking Camping Municipal Le Bois de Prat;410 Allée de Prat, 07240 Vernoux-en-Vivarais;7240;Vernoux/Pras;44.902848;4.64981;Parking;07 CD07 Ardèche;;;;;;;;;
Parking La Forêt des Contes en Vocance;Chemin des Prés Peloux, 07690 Villevocance;7690;Villevocance;45.229671;4.59487;Parking;07 CD07 Ardèche;15;;;;;;;;
Aire de covoiturage Les quatre chemins;D86, 07220 Viviers;7220;Viviers;44.492627;4.678984;Aire_covoiturage ;07 CD07 Ardèche;10;;;;;;;;
Parking covoiturage Acy Romance;;;Acy Romance;49.4969790527;4.35476969311;Aire_covoiturage;08 CD08 Ardennes;38;;;;;;;;
Parking covoiturage du Châtelet;;;Châtelet;49.4179105426;4.26772667926;Aire_covoiturage;08 CD08 Ardennes;33;;;;;;;;
Parking covoiturage de Mazagran;;;Mazagran;49.3919719379;4.58448049142;Aire_covoiturage;08 CD08 Ardennes;27;;;;;;;;
Parking covoiturage de Poix-Terron;;;Poix-Terron;49.6404419706;4.62875973256;Aire_covoiturage;08 CD08 Ardennes;40;;;;;;;;
Parking covoiturage de Woinic;;;Woinic;49.5943414968;4.50302214562;Aire_covoiturage;08 CD08 Ardennes;16;;;;;;;;
Relais Vert Angle D33 D3;angle D33 D3;9200;Encourtiech;42.956580;1.177063;Parking;09 CD09 Ariège;;;;;;;;;
Parking Rond Point Intersection 29 D119;D29;9100;La Tour Du Crieu;43.098005;1.653904;Parking;09 CD09 Ariège;;;;;;;;;
Parking Eglise de La Trinité;D11;31190;Loubens;43.38650;1.537412;Parking;09 CD09 Ariège;;;;;;;;;
Aire de covoiturage de Montjoie;D627;9200;Montjoie-En-Couserans;42.992903;1.159709;Aire_Covoiturage;09 CD09 Ariège;;;;;;;;;
Parking Rue Nationale Rond Point D117E;D117E;9160;Prat-Bonrepaux;43.032509;1.028528;Parking;09 CD09 Ariège;;;;;;;;;
Parking Le Crieu;D820B4B;9700;Saverdun;43.224094;1.605379;Parking;09 CD09 Ariège;;;;;;;;;
Aire de covoiturage de Kercabanac;D3;9320;Soulan;42.909095;1.214777;Aire_Covoiturage;09 CD09 Ariège;;;;;;;;;
Parking covoiturage D0031;D0031;10160;Aix-en-Othe;48.222096;3.730838;Parking;10 CD10 Aube;;;;;;;;;
Parking covoiturage D0374;D0374;10130;Auxon;48.1031225;3.9183815;Parking;10 CD10 Aube;;;;;;;;;
Parking D0004B;D0004B;10200;Bar-sur-Aube;48.2299391;4.7075607;Parking;10 CD10 Aube;;;;;;;;;
Parking D0013;D0013;10200;Bar-sur-Aube;48.2304895;4.715208;Parking;10 CD10 Aube;;;;;;;;;
Parking covoiturage D0072A;D0072A;10320;Bouilly;48.19473;3.99851;Parking;10 CD10 Aube;;;;;;;;;
Parking D0012;D0012;10200;Champignol-lez-Mondeville;48.136313;4.669801;Parking;10 CD10 Aube;;;;;;;;;
Parking covoiturage D0444;D0444;10210;Chaource;48.059664;4.142812;Parking;10 CD10 Aube;;;;;;;;;
Parking D0619;D0619;10270;Courteranges;48.2614815;4.24105;Parking;10 CD10 Aube;;;;;;;;;
Parking D0011;D0011;10500;Dienville;48.349037;4.5322561;Parking;10 CD10 Aube;;;;;;;;;
Parking covoiturage D0023;D0023;10190;Estissac;48.273648;3.800577;Parking;10 CD10 Aube;;;;;;;;;
Parking D0439;D0439;10400;Gumery;48.452408;3.432926;Parking;10 CD10 Aube;;;;;;;;;
Parking D0018;D0018;10140;Jessains;48.2968746;4.5776543;Parking;10 CD10 Aube;;;;;;;;;
Parking D0053;D0053;10440;La Riviere-de-Corps;48.2876515;4.0300799;Parking;10 CD10 Aube;;;;;;;;;
Parking D0176;D0176;10400;La Saulsotte;48.5427795;3.500565;Parking;10 CD10 Aube;;;;;;;;;
Parking D0060B;D0060B;10420;Les Noes-prés-Troyes;48.3029485;4.0419535;Parking;10 CD10 Aube;;;;;;;;;
Parking D0012B;D0012B;10310;Longchamp-sur-Aujon;48.15078;4.832616;Parking;10 CD10 Aube;;;;;;;;;
Parking D0009;D0009;10230;Mailly-le-Camp;48.664207;4.215609;Parking;10 CD10 Aube;;;;;;;;;
Parking D0085;D0085;10800;Moussey;48.2121685;4.097443;Parking;10 CD10 Aube;;;;;;;;;
Parking D0619;D0619;10400;Nogent-sur-Seine;48.4882415;3.4781755;Parking;10 CD10 Aube;;;;;;;;;
Parking D0919;D0919;10400;Nogent-sur-Seine;48.4928405;3.5130855;Parking;10 CD10 Aube;;;;;;;;;
Parking D0671;D0671;10250;Plaines-Saint-Lange;47.9937755;4.483251;Parking;10 CD10 Aube;;;;;;;;;
Parking D0056;D0056;10380;Plancy-l'Abbaye;48.5717405;3.9600325;Parking;10 CD10 Aube;;;;;;;;;
Parking D0148;D0148;10240;Pougy;48.443182;4.3579075;Parking;10 CD10 Aube;;;;;;;;;
Parking D0041;D0041;10120;Saint-Andre-les-Vergers;48.285055;4.051245;Parking;10 CD10 Aube;;;;;;;;;
Parking D0046;D0046;10140;Unienville;48.3261635;4.55046;Parking;10 CD10 Aube;;;;;;;;;
Aire de covoiturage de Cailhau;D18;11240;Cailhau;43.13378;2.11684;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage du Rond-Point  George Pompidou;D6113;11000;Carcassonne;43.22703;2.33082;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage Maison de La Montagne Noire;D118;11390;Caudebronde;43.36722;2.30058;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage de Lézignan-Corbières;D611;11200;Lézignan-Corbières;43.17289;2.74114;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage de Luc-Sur-Aude;D118;11190;Luc-Sur-Aude;42.95851;2.26009;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage de Narbonne;D6009;11100;Narbonne;43.16498;2.98888;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage de Salles-Sur-L'Hers;D625;11410;Salles-Sur-L'Hers;43.29523;1.78192;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de covoiturage de Villemoustaussou;D118;11620;Villemoustaussou;43.24309;2.38196;Aire_covoiturage;11 CD11 Aude;;;;;;;;;
Aire de la Gamasse;Croisement RD29/A7;12520;Aguessac;44.177543;3.038912;Parking ;12 CD12 Aveyron;;;;;;;;;
Cote d'Hymes;Croisement RD 840/;12390;Auzits;44.513992;2.354438;Parking ;12 CD12 Aveyron;;;oui;;;;;;
Aire de covoiturage de Curlande Cd12;Déviation de Curlande;12340;Bozouls;44.436836;2.680768;Aire_covoiturage;12 CD12 Aveyron;;;oui;;;;;;
Aire des Molinieres;Les Molinieres;12450;Calmont;44.285335;2.509183;Aire_covoiturage ;12 CD12 Aveyron;;;oui;;;;;;
Parking D997 Le Poteau de Sauveterre;Poteau de Sauveterre;12240;Castanet;44.316144;2.324752;Parking ;12 CD12 Aveyron;;;;;;;;;
Le Poteau de Colombies;Poteau de Colombies;12240;Colombies;44.315909;2.348287;Parking ;12 CD12 Aveyron;;;;;;;;;
Parking D82 Chemin de L'abbaye;Chemin de L'Abbaye;12120;Comps-La-Grand-ville;44.233621;2.565642;Parking ;12 CD12 Aveyron;;;;;;;;;
Parking les Places D65;Les Places;12540;Cornus;43.949513;3.21341;Parking ;12 CD12 Aveyron;;;;;;;;;
Aire du Puech de Lauzeche;Puech De Lauzeche;12410;Curan;44.240365;2.875413;Parking ;12 CD12 Aveyron;;;;;;;;;
Aire du Pas;Le Pas;12510;Druelle;44.38001;2.451627;Aire_covoiturage ;12 CD12 Aveyron;;;oui;;;;;;
Parking Rodiez D920;Avenue de Rodiez;12140;Entraygues Sur Truyeres;44.638424;2.571188;Parking ;12 CD12 Aveyron;;;;;;;;;
Parking Flagnac;Croisement D963/D508;12300;Flagnac;44.60498366466;2.24304197488;Parking ;12 CD12 Aveyron;;;;;;;;;
Parking Causse-et-Diège D922;Gelles;12260;Foissac;44.513677;2.029211;Parking ;12 CD12 Aveyron;;;;;;;;;
Parking Croisement 911/544E2;Croisement RD 544;12240;La Capelle Bleys;44.307841;2.173771;Parking ;12 CD12 Aveyron;;;oui;;;;;;
Parking la Cavalerie;ZA Millau Larzac;12230;La Cavalerie;44.016654;3.142061;Parking ;12 CD12 Aveyron;;;;;;;;;
Parking D922 La Fouillade;Bourg de La Fouillade;12270;La Fouillade;44.228511;2.040481;Parking ;12 CD12 Aveyron;;;;;;;;;
